agency_cd	gage_id	date	discharge_cfs	qa_flag
USGS	04102533	2015-04-20	4560.44735406437	A
USGS	04102533	2015-04-21	4815.2209492635	A
USGS	04102533	2015-04-22	4917.13038734315	A
USGS	04102533	2015-04-23	4955.34642662302	A
USGS	04102533	2015-04-24	4891.65302782324	A
USGS	04102533	2015-04-25	4827.95962902346	A
USGS	04102533	2015-04-26	4751.52755046372	A
USGS	04102533	2015-04-27	4331.15111838516	A
USGS	04102533	2015-04-28	4241.98036006547	A
USGS	04102533	2015-04-29	4241.98036006547	A
USGS	04102533	2015-04-30	4191.02564102564	A
USGS	04102533	2015-05-01	3694.21713038734	A
USGS	04102533	2015-05-02	3617.78505182761	A
USGS	04102533	2015-05-03	3541.35297326787	A
USGS	04102533	2015-05-04	3630.52373158756	A
USGS	04102533	2015-05-05	3719.69448990726	A
USGS	04102533	2015-05-06	3885.29732678669	A
USGS	04102533	2015-05-07	4038.16148390616	A
USGS	04102533	2015-05-08	3694.21713038734	A
USGS	04102533	2015-05-09	4127.33224222586	A
USGS	04102533	2015-05-10	4203.7643207856	A
USGS	04102533	2015-05-11	4433.06055646481	A
USGS	04102533	2015-05-12	4598.66339334424	A
USGS	04102533	2015-05-13	4687.83415166394	A
USGS	04102533	2015-05-14	4280.19639934534	A
USGS	04102533	2015-05-15	4292.93507910529	A
USGS	04102533	2015-05-16	4140.07092198582	A
USGS	04102533	2015-05-17	4050.90016366612	A
USGS	04102533	2015-05-18	3974.46808510638	A
USGS	04102533	2015-05-19	3503.136933988	A
USGS	04102533	2015-05-20	3719.69448990726	A
USGS	04102533	2015-05-21	3337.53409710857	A
USGS	04102533	2015-05-22	3401.22749590835	A
USGS	04102533	2015-05-23	3171.93126022913	A
USGS	04102533	2015-05-24	2891.68030551009	A
USGS	04102533	2015-05-25	3031.80578286961	A
USGS	04102533	2015-05-26	3031.80578286961	A
USGS	04102533	2015-05-27	3146.45390070922	A
USGS	04102533	2015-05-28	3235.62465902891	A
USGS	04102533	2015-05-29	2942.63502454992	A
USGS	04102533	2015-05-30	3070.02182214948	A
USGS	04102533	2015-05-31	6573.15875613748	A
USGS	04102533	2015-06-01	7286.52482269504	A
USGS	04102533	2015-06-02	6292.90780141844	A
USGS	04102533	2015-06-03	5847.05400981997	A
USGS	04102533	2015-06-04	5452.15493726132	A
USGS	04102533	2015-06-05	5057.25586470267	A
USGS	04102533	2015-06-06	4853.43698854337	A
USGS	04102533	2015-06-07	4407.5831969449	A
USGS	04102533	2015-06-08	4598.66339334424	A
USGS	04102533	2015-06-09	5350.24549918167	A
USGS	04102533	2015-06-10	4942.60774686307	A
USGS	04102533	2015-06-11	5159.16530278232	A
USGS	04102533	2015-06-12	5630.49645390071	A
USGS	04102533	2015-06-13	5095.47190398254	A
USGS	04102533	2015-06-14	4993.56246590289	A
USGS	04102533	2015-06-15	5210.12002182215	A
USGS	04102533	2015-06-16	6636.85215493726	A
USGS	04102533	2015-06-17	7872.50409165303	A
USGS	04102533	2015-06-18	8369.31260229133	A
USGS	04102533	2015-06-19	8776.95035460993	A
USGS	04102533	2015-06-20	8509.43807965084	A
USGS	04102533	2015-06-21	8152.75504637207	A
USGS	04102533	2015-06-22	7668.68521549373	A
USGS	04102533	2015-06-23	7120.9219858156	A
USGS	04102533	2015-06-24	6700.54555373704	A
USGS	04102533	2015-06-25	6483.98799781779	A
USGS	04102533	2015-06-26	6216.4757228587	A
USGS	04102533	2015-06-27	6802.45499181669	A
USGS	04102533	2015-06-28	7375.69558101473	A
USGS	04102533	2015-06-29	7184.61538461538	A
USGS	04102533	2015-06-30	6687.80687397709	A
USGS	04102533	2015-07-01	6853.40971085652	A
USGS	04102533	2015-07-02	7031.75122749591	A
USGS	04102533	2015-07-03	6675.06819421713	A
USGS	04102533	2015-07-04	5974.44080741953	A
USGS	04102533	2015-07-05	5936.22476813966	A
USGS	04102533	2015-07-06	5847.05400981997	A
USGS	04102533	2015-07-07	5439.41625750136	A
USGS	04102533	2015-07-08	5388.46153846154	A
USGS	04102533	2015-07-09	6547.68139661757	A
USGS	04102533	2015-07-10	7668.68521549373	A
USGS	04102533	2015-07-11	7681.42389525368	A
USGS	04102533	2015-07-12	6891.62575013639	A
USGS	04102533	2015-07-13	7031.75122749591	A
USGS	04102533	2015-07-14	8764.21167484997	A
USGS	04102533	2015-07-15	9031.72394980905	A
USGS	04102533	2015-07-16	8929.8145117294	A
USGS	04102533	2015-07-17	9044.46262956901	A
USGS	04102533	2015-07-18	10751.4457174032	A
USGS	04102533	2015-07-19	12509.3835242771	A
USGS	04102533	2015-07-20	11553.9825422804	A
USGS	04102533	2015-07-21	10267.3758865248	A
USGS	04102533	2015-07-22	9541.27114020731	A
USGS	04102533	2015-07-23	8522.1767594108	A
USGS	04102533	2015-07-24	7923.45881069285	A
USGS	04102533	2015-07-25	7299.26350245499	A
USGS	04102533	2015-07-26	6751.50027277687	A
USGS	04102533	2015-07-27	6624.1134751773	A
USGS	04102533	2015-07-28	6267.43044189853	A
USGS	04102533	2015-07-29	5643.23513366067	A
USGS	04102533	2015-07-30	5171.90398254228	A
USGS	04102533	2015-07-31	4980.82378614294	A
USGS	04102533	2015-08-01	4624.14075286416	A
USGS	04102533	2015-08-02	4178.28696126568	A
USGS	04102533	2015-08-03	4980.82378614294	A
USGS	04102533	2015-08-04	4636.87943262411	A
USGS	04102533	2015-08-05	4496.75395526459	A
USGS	04102533	2015-08-06	4331.15111838516	A
USGS	04102533	2015-08-07	4241.98036006547	A
USGS	04102533	2015-08-08	4127.33224222586	A
USGS	04102533	2015-08-09	3757.91052918712	A
USGS	04102533	2015-08-10	3541.35297326787	A
USGS	04102533	2015-08-11	3681.47845062739	A
USGS	04102533	2015-08-12	3503.136933988	A
USGS	04102533	2015-08-13	3273.84069830878	A
USGS	04102533	2015-08-14	3133.71522094926	A
